Marshall Lytle,,705,75,75,75,,,,,,,75,75,75,75,100,80,,,,,,,,,,,,
John Hall,,260,80,80,100,,,,,,,,,,,,,,,,,,,,,,,,
Keith Fraser,,1250,80,80,80,,,,,,,100,80,80,50,65,0,40,100,65,100,80,100,75,75,,,,
Mac Harrison,,1480,100,100,65,,,,100,100,100,75,100,100,80,100,0,80,80,100,100,100,,,,,,,
Mike Kosuth,,480,65,65,100,,,,,,,50,80,0,80,40,0,,,,,,,,,,,,
Aaron Meisner,,535,40,50,80,,,,,,,80,40,65,40,50,0,20,30,40,0,0,,,,,,,
Andrew Waldorf,,465,100,100,65,,,,,,,0,100,100,,,,,,,,,,,,,,,
Eric Prepscius,,1065,50,40,50,75,75,,100,75,0,65,50,0,40,50,65,100,0,100,65,65,,,,,,,
Yoshinori Roger Maeda,,75,75,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Herman,,400,100,75,75,75,75,,,,,,,,,,,,,,,,,,,,,,
Ryan Moran,,245,65,80,100,,,,,,,,,,,,,,,,,,,,,,,,
Nick Chivily,,1690,80,100,80,100,100,,,,,75,80,100,100,80,50,100,100,100,100,100,100,65,80,,,,
Chuck Edmondson,,1065,75,65,65,,,,,,,65,100,100,100,100,80,100,100,50,65,0,,,,,,,
Steve Martin,,1400,80,100,100,80,80,,75,80,75,80,65,0,65,100,80,80,65,65,65,65,,,,,,,
Jed Prentice,,1005,100,80,80,,,,,,,50,80,65,,,,50,40,40,80,80,100,80,80,,,,
Richard Yura,,75,,,,,75,,,,,,,,,,,,,,,,,,,,,,
Kyle Robertson,,240,,,,,,,80,80,80,,,,,,,,,,,,,,,,,,
Jennifer Roames,,575,,,,,,,0,100,0,100,100,80,,,,,,,,,65,80,50,,,,
Kevin Silbert,,230,,,,,,,80,75,75,,,,,,,,,,,,,,,,,,
Bill Smith,,730,,,,,,,,,,80,65,80,50,80,80,65,0,0,0,0,80,75,75,,,,
Jeff Liller,,595,,,,,,,,,,75,0,0,80,65,100,65,80,50,80,0,,,,,,,
John Ryan,,180,,,,,,,,,,40,20,40,,,,0,50,0,30,0,,,,,,,
Melanie Meckel,,595,,,,,,,,,,80,80,80,,,,80,65,65,65,80,,,,,,,
Mhyar Alzayat,,545,,,,,,,,,,100,100,100,100,80,65,,,,,,,,,,,,
Philip Ackley,,330,,,,,,,,,,100,30,50,,,,30,20,30,40,30,,,,,,,
Robert Gehret,,445,,,,,,,,,,65,65,65,,,,,,,,,50,100,100,,,,
William Simkins,,535,,,,,,,,,,40,65,80,,,,50,50,80,50,80,40,0,0,,,,
Charles Harrison,,130,,,,,,,,,,,,,65,65,0,,,,,,,,,,,,
David Cook,,545,,,,,,,,,,,,,80,100,100,,,,,,65,100,100,,,,
Denis Jenkins,,130,,,,,,,,,,,,,80,50,0,,,,,,,,,,,,
Donald Privett,,70,,,,,,,,,,,,,30,40,0,,,,,,,,,,,,
Jack Murchison,,165,,,,,,,,,,,,,50,50,65,,,,,,,,,,,,
John Blanchard,,75,,,,,,,,,,,,,0,75,0,,,,,,,,,,,,
Matt Littleton,,655,,,,,,,,,,,,,100,100,80,0,100,75,100,100,,,,,,,
Murphy Nichols,,890,,,,,,,,,,,,,65,65,100,65,50,100,100,65,80,100,100,,,,
Nathan Reynolds,,165,,,,,,,,,,,,,50,50,65,,,,,,,,,,,,
Rick Myllenbeck,,180,,,,,,,,,,,,,65,65,50,,,,,,,,,,,,
Thomas Kirchman,,130,,,,,,,,,,,,,65,65,0,,,,,,,,,,,,
Chris Benedetto,,740,,,,,,,,,,,,,100,100,100,100,100,80,80,80,,,,,,,
Nick Jones,,655,,,,,,,,,,,,,100,80,100,75,75,75,75,75,,,,,,,
Lawrence Slivinski,,160,,,,,,,,,,,,,0,80,80,,,,,,,,,,,,
Steven Schuh,,780,,,,,,,,,,,,,65,80,0,80,100,100,100,100,75,80,0,,,,
Jerome Welte,,260,,,,,,,,,,,,,80,80,100,,,,,,,,,,,,
Brian Cates,,100,,,,,,,,,,,,,,,,100,0,0,0,0,,,,,,,
David Albrecht,,210,,,,,,,,,,,,,,,,65,0,80,65,0,,,,,,,
David Alessi,,115,,,,,,,,,,,,,,,,0,65,0,0,50,,,,,,,
Mark Johnston,,390,,,,,,,,,,,,,,,,80,80,50,80,100,,,,,,,
Phil Hollenbeck,,220,,,,,,,,,,,,,,,,50,40,80,50,0,,,,,,,
Steve Wickersham,,260,,,,,,,,,,,,,,,,100,80,0,80,0,,,,,,,
Steven Spano,,70,,,,,,,,,,,,,,,,0,10,20,0,40,,,,,,,
Theo Peppes,,245,,,,,,,,,,,,,,,,80,5,0,80,80,,,,,,,
Tim Frank,,425,,,,,,,,,,,,,,,,0,80,80,0,100,50,50,65,,,,
Tristan Herbert,,250,,,,,,,,,,,,,,,,100,75,75,0,0,,,,,,,
Wichien Sarobon,,80,,,,,,,,,,,,,,,,0,0,30,0,50,,,,,,,
Allen Rothman,,210,,,,,,,,,,,,,,,,,,,,,80,65,65,,,,
Corey Markovits,,250,,,,,,,,,,,,,,,,,,,,,75,100,75,,,,
Dave Albrecht,,240,,,,,,,,,,,,,,,,,,,,,80,80,80,,,,
Joel Bell,,300,,,,,,,,,,,,,,,,,,,,,100,100,100,,,,
Louis Alessi,,225,,,,,,,,,,,,,,,,,,,,,65,80,80,,,,
